product,words,words_tagging,syllables,syllables_tagging
삼립 아침미소토스트,"['삼립', ' ', '아침미소토스트']","['PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '아', '침', '미', '소', '토', '스', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
한성 오징어젓갈,"['한성', ' ', '오징어젓갈']","['PRD_B', 'PRD_I', 'PRD_I']","['한', '성', ' ', '오', '징', '어', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
우리밀김치만두,['우리밀김치만두'],['PRD_B'],"['우', '리', '밀', '김', '치', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
아침 우유,"['아침', ' ', '우유']","['PRD_B', '-', 'PRDG_B']","['아', '침', ' ', '우', '유']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
사탕 840G,"['사탕', ' ', '840G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '8', '4', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
모짜렐라 치즈,"['모짜렐라', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['모', '짜', '렐', '라', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
피코크 서울스낵 수 과자,"['피코크', ' ', '서울스낵', ' ', '수', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['피', '코', '크', ' ', '서', '울', '스', '낵', ' ', '수', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
제주 슈레드 모짜렐라 치즈,"['제주', ' ', '슈레드', ' ', '모짜렐라', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['제', '주', ' ', '슈', '레', '드', ' ', '모', '짜', '렐', '라', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
올반 한우,"['올반', ' ', '한우']","['PRD_B', 'PRD_I', 'PRD_I']","['올', '반', ' ', '한', '우']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
도들샘 해물볶음우동,"['도들샘', ' ', '해물볶음우동']","['PRD_B', 'PRD_I', 'PRD_I']","['도', '들', '샘', ' ', '해', '물', '볶', '음', '우', '동']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
부산식 유부 주머니,"['부산식', ' ', '유부', ' ', '주머니']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['부', '산', '식', ' ', '유', '부', ' ', '주', '머', '니']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
히로타 바닐라크림슈,"['히로타', ' ', '바닐라크림슈']","['PRD_B', 'PRD_I', 'PRD_I']","['히', '로', '타', ' ', '바', '닐', '라', '크', '림', '슈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
들깨로 짜낸 들기름,"['들깨로', ' ', '짜낸', ' ', '들기름']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['들', '깨', '로', ' ', '짜', '낸', ' ', '들', '기', '름']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
이마트 초코크런치롤,"['이마트', ' ', '초코크런치롤']","['PRD_B', 'PRD_I', 'PRD_I']","['이', '마', '트', ' ', '초', '코', '크', '런', '치', '롤']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
티코 아이스크림,"['티코', ' ', '아이스크림']","['PRD_B', '-', 'PRDG_B']","['티', '코', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
피코크 치킨스테이크,"['피코크', ' ', '치킨스테이크']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '치', '킨', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
소프트 닭가슴살 혼합,"['소프트', ' ', '닭가슴살', ' ', '혼합']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['소', '프', '트', ' ', '닭', '가', '슴', '살', ' ', '혼', '합']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
청양고추맛 닭가슴살 곤약 잡채 만두,"['청양고추맛', ' ', '닭가슴살', ' ', '곤약', ' ', '잡채', ' ', '만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['청', '양', '고', '추', '맛', ' ', '닭', '가', '슴', '살', ' ', '곤', '약', ' ', '잡', '채', ' ', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 다담 매콤돼지 불고기양념,"['씨제이', ' ', '다담', ' ', '매콤돼지', ' ', '불고기양념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '다', '담', ' ', '매', '콤', '돼', '지', ' ', '불', '고', '기', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 로즈마리 닭가슴살,"['피코크', ' ', '로즈마리', ' ', '닭가슴살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '로', '즈', '마', '리', ' ', '닭', '가', '슴', '살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
저스트 건과채 스낵,"['저스트', ' ', '건과채', ' ', '스낵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['저', '스', '트', ' ', '건', '과', '채', ' ', '스', '낵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 초코케익,"['피코크', ' ', '초코케익']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '초', '코', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 81G,"['사탕', ' ', '81G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '8', '1', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
아이스크림 85ML,"['아이스크림', ' ', '85ML']","['PRDG_B', '-', 'PRD_B']","['아', '이', '스', '크', '림', ' ', '8', '5', 'M', 'L']","['PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
닥터유 활력충전 에너지바,"['닥터유', ' ', '활력충전', ' ', '에너지바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['닥', '터', '유', ' ', '활', '력', '충', '전', ' ', '에', '너', '지', '바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
나주고깃간 갈비찜,"['나주고깃간', ' ', '갈비찜']","['PRD_B', 'PRD_I', 'PRD_I']","['나', '주', '고', '깃', '간', ' ', '갈', '비', '찜']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
매운 바베큐 닭다리,"['매운', ' ', '바베큐', ' ', '닭다리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['매', '운', ' ', '바', '베', '큐', ' ', '닭', '다', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
김해축협 한우언양식양념불고기냉동,"['김해축협', ' ', '한우언양식양념불고기냉동']","['PRD_B', 'PRD_I', 'PRD_I']","['김', '해', '축', '협', ' ', '한', '우', '언', '양', '식', '양', '념', '불', '고', '기', '냉', '동']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
미니컵 라즈베리 아이스크림,"['미니컵', ' ', '라즈베리', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['미', '니', '컵', ' ', '라', '즈', '베', '리', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
어묵무침,['어묵무침'],['PRD_B'],"['어', '묵', '무', '침']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
페즈캔디 디 사탕,"['페즈캔디', ' ', '디', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['페', '즈', '캔', '디', ' ', '디', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
포테토칩 어니언 과자,"['포테토칩', ' ', '어니언', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['포', '테', '토', '칩', ' ', '어', '니', '언', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
백설 동그랑땡,"['백설', ' ', '동그랑땡']","['PRD_B', 'PRD_I', 'PRD_I']","['백', '설', ' ', '동', '그', '랑', '땡']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오리온 오감자 과자,"['오리온', ' ', '오감자', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['오', '리', '온', ' ', '오', '감', '자', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
생선스테이크용 레몬소스,"['생선스테이크용', ' ', '레몬소스']","['PRD_B', 'PRD_I', 'PRD_I']","['생', '선', '스', '테', '이', '크', '용', ' ', '레', '몬', '소', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
총각김치,['총각김치'],['PRD_B'],"['총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 파베 초콜릿 밀크,"['피코크', ' ', '파베', ' ', '초콜릿', ' ', '밀크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '파', '베', ' ', '초', '콜', '릿', ' ', '밀', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
맛있는우유지티멸균초코,['맛있는우유지티멸균초코'],['PRD_B'],"['맛', '있', '는', '우', '유', '지', '티', '멸', '균', '초', '코']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 130G,"['과자', ' ', '130G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '1', '3', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
노브랜드 소고기치즈브리또,"['노브랜드', ' ', '소고기치즈브리또']","['PRD_B', 'PRD_I', 'PRD_I']","['노', '브', '랜', '드', ' ', '소', '고', '기', '치', '즈', '브', '리', '또']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
자주 브라운 별사탕,"['자주', ' ', '브라운', ' ', '별사탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['자', '주', ' ', '브', '라', '운', ' ', '별', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
부촌푸드 유황 생오리,"['부촌푸드', ' ', '유황', ' ', '생오리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['부', '촌', '푸', '드', ' ', '유', '황', ' ', '생', '오', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
컵 아이스크림,"['컵', ' ', '아이스크림']","['PRD_B', '-', 'PRDG_B']","['컵', ' ', '아', '이', '스', '크', '림']","['PRD_B', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
비락우유 키드우유,"['비락우유', ' ', '키드우유']","['PRD_B', 'PRD_I', 'PRD_I']","['비', '락', '우', '유', ' ', '키', '드', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
제대로 고등어 조림 양념,"['제대로', ' ', '고등어', ' ', '조림', ' ', '양념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['제', '대', '로', ' ', '고', '등', '어', ' ', '조', '림', ' ', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
종가집 열무김치페트,"['종가집', ' ', '열무김치페트']","['PRD_B', 'PRD_I', 'PRD_I']","['종', '가', '집', ' ', '열', '무', '김', '치', '페', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 152G,"['과자', ' ', '152G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '1', '5', '2', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
오뗄 장작통삼겹베이컨,"['오뗄', ' ', '장작통삼겹베이컨']","['PRD_B', 'PRD_I', 'PRD_I']","['오', '뗄', ' ', '장', '작', '통', '삼', '겹', '베', '이', '컨']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
올반 육즙가득왕교자,"['올반', ' ', '육즙가득왕교자']","['PRD_B', 'PRD_I', 'PRD_I']","['올', '반', ' ', '육', '즙', '가', '득', '왕', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
덴마크 더건강한 저지방우유,"['덴마크', ' ', '더건강한', ' ', '저지방우유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['덴', '마', '크', ' ', '더', '건', '강', '한', ' ', '저', '지', '방', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
비비고 갓김치,"['비비고', ' ', '갓김치']","['PRD_B', 'PRD_I', 'PRD_I']","['비', '비', '고', ' ', '갓', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
망고식스,['망고식스'],['PRD_B'],"['망', '고', '식', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
하남쭈꾸미,['하남쭈꾸미'],['PRD_B'],"['하', '남', '쭈', '꾸', '미']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
빙그레 시그니처바닐라,"['빙그레', ' ', '시그니처바닐라']","['PRD_B', 'PRD_I', 'PRD_I']","['빙', '그', '레', ' ', '시', '그', '니', '처', '바', '닐', '라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
팝콘용 옥수수 과자,"['팝콘용', ' ', '옥수수', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['팝', '콘', '용', ' ', '옥', '수', '수', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
빙그레 끌레도르 크림치즈바,"['빙그레', ' ', '끌레도르', ' ', '크림치즈바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['빙', '그', '레', ' ', '끌', '레', '도', '르', ' ', '크', '림', '치', '즈', '바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
바로먹는 깐계란,"['바로먹는', ' ', '깐계란']","['PRD_B', 'PRD_I', 'PRD_I']","['바', '로', '먹', '는', ' ', '깐', '계', '란']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 20G,"['과자', ' ', '20G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '2', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
나래식품 어리굴젓,"['나래식품', ' ', '어리굴젓']","['PRD_B', 'PRD_I', 'PRD_I']","['나', '래', '식', '품', ' ', '어', '리', '굴', '젓']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
떠먹는 치즈무스케익,"['떠먹는', ' ', '치즈무스케익']","['PRD_B', 'PRD_I', 'PRD_I']","['떠', '먹', '는', ' ', '치', '즈', '무', '스', '케', '익']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
그라나 파다노 치즈,"['그라나', ' ', '파다노', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['그', '라', '나', ' ', '파', '다', '노', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
햄스빌 베이컨,"['햄스빌', ' ', '베이컨']","['PRD_B', 'PRD_I', 'PRD_I']","['햄', '스', '빌', ' ', '베', '이', '컨']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
미니돈가스,['미니돈가스'],['PRD_B'],"['미', '니', '돈', '가', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
대림선 포자찐만두,"['대림선', ' ', '포자찐만두']","['PRD_B', 'PRD_I', 'PRD_I']","['대', '림', '선', ' ', '포', '자', '찐', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오리온 에너지바퀵차치팩,"['오리온', ' ', '에너지바퀵차치팩']","['PRD_B', 'PRD_I', 'PRD_I']","['오', '리', '온', ' ', '에', '너', '지', '바', '퀵', '차', '치', '팩']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 아침우유 식빵,"['삼립', ' ', '아침우유', ' ', '식빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '아', '침', '우', '유', ' ', '식', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프랑스 미니 브리 치즈,"['프랑스', ' ', '미니', ' ', '브리', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['프', '랑', '스', ' ', '미', '니', ' ', '브', '리', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
오이,['오이'],['PRD_B'],"['오', '이']","['PRD_B', 'PRD_I']"
메나쥬리 올리브포카치아,"['메나쥬리', ' ', '올리브포카치아']","['PRD_B', 'PRD_I', 'PRD_I']","['메', '나', '쥬', '리', ' ', '올', '리', '브', '포', '카', '치', '아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오리온 볶음고추장,"['오리온', ' ', '볶음고추장']","['PRD_B', 'PRD_I', 'PRD_I']","['오', '리', '온', ' ', '볶', '음', '고', '추', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
가자미,['가자미'],['PRD_B'],"['가', '자', '미']","['PRD_B', 'PRD_I', 'PRD_I']"
피코크 티라미수,"['피코크', ' ', '티라미수']","['PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '티', '라', '미', '수']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
감자,['감자'],['PRD_B'],"['감', '자']","['PRD_B', 'PRD_I']"
과자 120G,"['과자', ' ', '120G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '1', '2', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
모아블럭 왕국 사탕,"['모아블럭', ' ', '왕국', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['모', '아', '블', '럭', ' ', '왕', '국', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
벤토스위트앤스파이시,['벤토스위트앤스파이시'],['PRD_B'],"['벤', '토', '스', '위', '트', '앤', '스', '파', '이', '시']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
구르메 고르곤졸라,"['구르메', ' ', '고르곤졸라']","['PRD_B', 'PRD_I', 'PRD_I']","['구', '르', '메', ' ', '고', '르', '곤', '졸', '라']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
미소담은 미쏘야모듬소시지,"['미소담은', ' ', '미쏘야모듬소시지']","['PRD_B', 'PRD_I', 'PRD_I']","['미', '소', '담', '은', ' ', '미', '쏘', '야', '모', '듬', '소', '시', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
다담 뚝배기 청국장 찌개양념,"['다담', ' ', '뚝배기', ' ', '청국장', ' ', '찌개양념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['다', '담', ' ', '뚝', '배', '기', ' ', '청', '국', '장', ' ', '찌', '개', '양', '념']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
유색 명란젓갈,"['유색', ' ', '명란젓갈']","['PRD_B', 'PRD_I', 'PRD_I']","['유', '색', ' ', '명', '란', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 1KG,"['사탕', ' ', '1KG']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '1', 'K', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
체다 치즈,"['체다', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['체', '다', ' ', '치', '즈']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
